# SPT ID	RA	DEC	SN_150_GHz	Type	Extended
SPT-S J000038-5347.2	0.161	-53.788000000000004	2.59	sync	no
SPT-S J000119-5345.1	0.332	-53.751999999999995	1.48	sync	no
SPT-S J000156-5143.6	0.485	-51.727	0.0	dust	no
SPT-S J000212-5927.5	0.5529999999999999	-59.458	6.53	sync	no
SPT-S J000253-5948.2	0.722	-59.805	66.12	sync	no
SPT-S J000254-5621.3	0.725	-56.355	7.41	sync	no
SPT-S J000303-5530.1	0.7659999999999999	-55.503	14.37	sync	no
SPT-S J000309-5258.2	0.79	-52.971000000000004	5.92	sync	no
SPT-S J000310-5444.9	0.792	-54.748999999999995	25.87	sync	yes
SPT-S J000313-5905.8	0.805	-59.098	10.31	sync	no
SPT-S J000357-5343.7	0.9890000000000001	-53.729	14.58	sync	no
SPT-S J000413-5255.0	1.058	-52.917	21.92	sync	no
SPT-S J020144-6316.2	30.436	-63.272	3.75	sync	no
SPT-S J020154-6033.5	30.478	-60.56	6.54	sync	no
SPT-S J020154-6346.5	30.478	-63.776	7.68	sync	no
SPT-S J020203-6051.1	30.513	-60.853	3.02	sync	no
SPT-S J020208-6051.6	30.534000000000002	-60.861000000000004	4.57	sync	no
SPT-S J020227-6320.3	30.614	-63.34	12.77	sync	no
SPT-S J020233-6246.3	30.641	-62.772	1.47	dust	no
SPT-S J020252-6323.4	30.717	-63.39	6.01	sync	no
SPT-S J020259-6121.1	30.747	-61.353	12.27	dust	no
SPT-S J020302-5726.7	30.759	-57.446000000000005	6.59	sync	no
SPT-S J020315-5722.9	30.815	-57.382	4.68	sync	no
SPT-S J020317-5557.2	30.824	-55.953	19.78	sync	no
SPT-S J020343-6155.9	30.93	-61.931999999999995	11.56	sync	no
SPT-S J020411-5802.6	31.046	-58.045	7.95	sync	no
SPT-S J020448-5502.8	31.201999999999998	-55.047	30.63	sync	yes
SPT-S J020454-5619.7	31.226	-56.33	5.19	sync	no
SPT-S J020514-5558.9	31.31	-55.983000000000004	2.25	sync	no
SPT-S J020514-5558.1	31.311999999999998	-55.97	6.35	sync	no
SPT-S J020541-5531.9	31.424	-55.533	14.35	sync	no
SPT-S J020549-5551.5	31.456	-55.858000000000004	19.67	sync	no
SPT-S J020639-6143.5	31.666	-61.726000000000006	105.21	sync	no
SPT-S J020640-5749.7	31.671	-57.82899999999999	5.89	sync	no
SPT-S J020650-6442.7	31.71	-64.71300000000001	4.54	sync	no
SPT-S J020711-5712.0	31.796999999999997	-57.201	2.94	sync	no
SPT-S J020721-5751.3	31.842	-57.855	3.35	dust	no
SPT-S J020750-6425.9	31.96	-64.433	4.8	sync	no
SPT-S J020800-6216.5	32.004	-62.277	40.85	sync	no
SPT-S J020808-5703.9	32.037	-57.066	4.51	sync	no
SPT-S J020911-6229.3	32.299	-62.488	7.61	sync	no
SPT-S J020955-5525.8	32.481	-55.431000000000004	6.58	sync	no
SPT-S J021121-5943.0	32.838	-59.717	6.58	sync	no
SPT-S J021126-6156.4	32.86	-61.941	3.51	sync	no
SPT-S J021204-6146.8	33.021	-61.781000000000006	4.57	sync	no
SPT-S J021244-5807.6	33.186	-58.128	4.53	sync	no
SPT-S J021251-6006.1	33.215	-60.103	6.95	sync	no
SPT-S J021359-6118.1	33.496	-61.303000000000004	12.3	sync	no
SPT-S J021406-6226.0	33.528	-62.434	4.55	sync	no
SPT-S J021410-5822.0	33.543	-58.368	40.05	sync	no
SPT-S J021416-6149.5	33.567	-61.826	338.74	sync	no
SPT-S J021431-6404.7	33.632	-64.079	2.6	dust	no
SPT-S J021450-5454.2	33.711999999999996	-54.903999999999996	0.8	dust	no
SPT-S J021457-6122.3	33.74	-61.372	4.72	sync	no
SPT-S J021457-6012.2	33.741	-60.203	11.08	sync	no
SPT-S J021514-6414.4	33.81	-64.241	6.89	sync	no
SPT-S J021709-5718.2	34.29	-57.303999999999995	17.48	sync	no
SPT-S J021727-5951.6	34.364000000000004	-59.86	20.75	sync	no
SPT-S J021834-5503.7	34.644	-55.063	28.05	sync	no
SPT-S J021843-6207.7	34.681999999999995	-62.13	2.43	dust	no
SPT-S J021910-5549.6	34.792	-55.828	5.66	sync	no
SPT-S J021937-6156.3	34.905	-61.93899999999999	5.68	sync	no
SPT-S J021956-6054.4	34.986999999999995	-60.907	0.0	sync	no
SPT-S J021958-5839.8	34.995	-58.663999999999994	11.96	sync	no
SPT-S J022053-6330.3	35.224000000000004	-63.505	151.94	sync	no
SPT-S J022135-6436.6	35.398	-64.611	2.41	dust	no
SPT-S J022150-5647.4	35.461999999999996	-56.79	86.09	sync	no
SPT-S J022157-6405.5	35.489000000000004	-64.092	25.61	sync	yes
SPT-S J022203-5836.4	35.513000000000005	-58.608000000000004	6.06	sync	no
SPT-S J022247-6041.1	35.696	-60.68600000000001	20.48	sync	no
SPT-S J022332-5606.4	35.885	-56.107	15.59	sync	no
SPT-S J022335-6419.9	35.899	-64.332	9.02	sync	no
SPT-S J022341-5600.3	35.922	-56.006	5.74	sync	no
SPT-S J022353-5913.6	35.973	-59.227	5.15	sync	no
SPT-S J022413-6515.9	36.056999999999995	-65.265	4.76	dust	no
SPT-S J022526-5710.2	36.359	-57.17	5.13	sync	no
SPT-S J022528-5722.3	36.371	-57.373000000000005	4.76	sync	no
SPT-S J022552-5953.5	36.467	-59.891999999999996	5.23	sync	no
SPT-S J022612-6442.5	36.552	-64.709	0.61	dust	no
SPT-S J022626-5913.8	36.61	-59.231	5.34	sync	no
SPT-S J022627-5609.6	36.615	-56.161	4.59	sync	no
SPT-S J022649-6120.6	36.708	-61.343999999999994	11.28	sync	no
SPT-S J022652-6016.2	36.717	-60.27	12.74	sync	no
SPT-S J022705-6331.6	36.772	-63.527	8.25	sync	no
SPT-S J022706-6118.0	36.775	-61.301	7.92	sync	no
SPT-S J022752-6127.8	36.97	-61.465	5.06	sync	no
SPT-S J022755-6158.0	36.98	-61.967	7.58	sync	no
SPT-S J022757-6329.9	36.99	-63.498999999999995	4.51	sync	no
SPT-S J022821-5537.4	37.089	-55.623999999999995	25.32	sync	no
SPT-S J022821-5546.0	37.091	-55.768	113.5	sync	yes
SPT-S J022840-5808.5	37.169000000000004	-58.143	4.54	sync	no
SPT-S J022925-6407.4	37.355	-64.124	6.03	sync	no
SPT-S J023008-5951.3	37.537	-59.855	8.32	sync	no
SPT-S J023011-6214.4	37.549	-62.24100000000001	56.37	sync	no
SPT-S J023018-6101.7	37.577	-61.028999999999996	2.25	sync	no
SPT-S J023048-6301.3	37.702	-63.023	0.0	dust	no
SPT-S J023109-5755.1	37.789	-57.919	43.57	sync	no
SPT-S J023116-5840.9	37.821	-58.683	50.19	sync	no
SPT-S J023132-5618.9	37.885	-56.316	4.52	sync	no
SPT-S J023138-5726.3	37.91	-57.44	4.5	sync	no
SPT-S J023209-5939.1	38.041	-59.653	1.17	sync	no
SPT-S J023309-5603.8	38.289	-56.065	6.28	sync	no
SPT-S J023444-5700.7	38.687	-57.012	1.91	dust	no
SPT-S J023452-5710.6	38.718	-57.177	4.63	sync	no
SPT-S J023524-5547.9	38.852	-55.799	2.37	dust	no
SPT-S J023608-5911.4	39.036	-59.191	5.3	sync	no
SPT-S J023653-6136.1	39.221	-61.602	267.12	sync	no
SPT-S J023714-6512.2	39.312	-65.205	5.49	sync	no
SPT-S J023800-5717.3	39.501999999999995	-57.288999999999994	6.97	sync	no
SPT-S J023809-6039.0	39.541	-60.651	4.54	sync	no
SPT-S J023837-6034.9	39.656	-60.582	4.56	sync	no
SPT-S J024021-5836.9	40.088	-58.61600000000001	4.55	sync	no
SPT-S J024052-6104.2	40.22	-61.071000000000005	5.45	sync	no
SPT-S J024113-5910.4	40.304	-59.174	5.56	dust	no
SPT-S J024217-6357.5	40.571999999999996	-63.958	7.49	sync	no
SPT-S J024221-5507.3	40.588	-55.122	10.6	sync	no
SPT-S J024324-5738.8	40.852	-57.648	20.99	sync	no
SPT-S J024326-5612.6	40.861999999999995	-56.211999999999996	30.66	sync	no
SPT-S J024439-5819.8	41.167	-58.331	10.76	sync	no
SPT-S J024448-6058.8	41.201	-60.981	6.4	sync	no
SPT-S J024453-5947.9	41.223	-59.799	25.27	sync	no
SPT-S J024507-5544.5	41.282	-55.742	7.43	dust	no
SPT-S J024544-6320.6	41.434	-63.345	5.41	dust	no
SPT-S J024618-5527.4	41.576	-55.458	3.97	dust	no
SPT-S J024639-5955.6	41.665	-59.927	6.19	sync	no
SPT-S J024655-5541.2	41.73	-55.687	6.34	sync	no
SPT-S J024709-6325.6	41.791000000000004	-63.427	37.7	sync	no
SPT-S J024825-5656.1	42.105	-56.935	0.75	dust	no
SPT-S J024838-6209.4	42.162	-62.157	3.91	sync	no
SPT-S J024852-5457.1	42.217	-54.952	5.41	sync	no
SPT-S J024859-5551.3	42.248000000000005	-55.856	5.01	sync	no
SPT-S J024916-6317.3	42.32	-63.29	0.62	dust	no
SPT-S J024929-6020.9	42.373000000000005	-60.35	6.09	sync	no
SPT-S J024934-5948.6	42.391999999999996	-59.81	1.59	sync	no
SPT-S J024948-5556.3	42.452	-55.938	17.37	sync	no
SPT-S J024955-6023.1	42.48	-60.386	14.66	sync	no
SPT-S J025035-6355.0	42.647	-63.917	27.46	sync	no
SPT-S J025050-5455.3	42.708999999999996	-54.923	4.99	sync	no
SPT-S J025126-6000.1	42.858999999999995	-60.001999999999995	125.57	sync	no
SPT-S J025139-6400.4	42.915	-64.008	5.11	sync	no
SPT-S J025222-5756.9	43.095	-57.949	1.35	dust	no
SPT-S J025228-5508.0	43.12	-55.13399999999999	5.03	sync	no
SPT-S J025250-6402.8	43.208999999999996	-64.047	16.4	sync	no
SPT-S J025307-5854.0	43.283	-58.901	4.62	sync	no
SPT-S J025345-6513.1	43.44	-65.22	14.88	sync	no
SPT-S J025405-5925.6	43.523	-59.427	7.9	sync	no
SPT-S J025615-6453.8	44.065	-64.898	12.08	sync	no
SPT-S J025651-6028.5	44.215	-60.476000000000006	5.16	sync	no
SPT-S J025710-6345.1	44.295	-63.753	10.52	sync	no
SPT-S J025736-6112.5	44.401	-61.208999999999996	36.47	sync	no
SPT-S J025824-6018.3	44.6	-60.306000000000004	6.28	sync	no
SPT-S J025855-6133.5	44.732	-61.559	1.99	dust	no
SPT-S J025931-6046.2	44.881	-60.771	0.0	dust	no
SPT-S J025955-6022.2	44.981	-60.37	5.6	sync	no
SPT-S J030013-6512.8	45.056999999999995	-65.214	2.71	dust	no
SPT-S J030024-6047.9	45.104	-60.799	6.0	sync	no
