# SPT ID	SN_220_GHz	SN_95_GHz
SPT-S J000038-5347.2	4.58	
SPT-S J000119-5345.1	4.68	
SPT-S J000156-5143.6	4.57	
SPT-S J000212-5927.5	2.08	
SPT-S J000253-5948.2	19.63	
SPT-S J000254-5621.3	1.19	
SPT-S J000303-5530.1	3.15	
SPT-S J000309-5258.2	1.33	
SPT-S J000310-5444.9	8.2	
SPT-S J000313-5905.8	4.42	
SPT-S J000357-5343.7	5.19	
SPT-S J000413-5255.0	6.68	
SPT-S J020144-6316.2	0.98	5.18
SPT-S J020154-6033.5	1.66	3.81
SPT-S J020154-6346.5	1.1	7.64
SPT-S J020203-6051.1	0.0	4.5
SPT-S J020208-6051.6	0.31	3.75
SPT-S J020227-6320.3	2.99	8.39
SPT-S J020233-6246.3	4.67	0.0
SPT-S J020252-6323.4	1.69	5.07
SPT-S J020259-6121.1	10.54	2.93
SPT-S J020302-5726.7	1.11	3.23
SPT-S J020315-5722.9	0.0	2.27
SPT-S J020317-5557.2	5.41	12.49
SPT-S J020343-6155.9	2.56	8.14
SPT-S J020411-5802.6	1.33	5.32
SPT-S J020448-5502.8	7.96	21.28
SPT-S J020454-5619.7	0.44	1.8
SPT-S J020514-5558.9	1.58	5.12
SPT-S J020514-5558.1	2.38	3.66
SPT-S J020541-5531.9	2.79	9.91
SPT-S J020549-5551.5	4.71	14.1
SPT-S J020639-6143.5	27.14	76.35
SPT-S J020640-5749.7	1.16	5.81
SPT-S J020650-6442.7	0.33	3.57
SPT-S J020711-5712.0	1.28	5.47
SPT-S J020721-5751.3	4.51	0.39
SPT-S J020750-6425.9	0.0	0.76
SPT-S J020800-6216.5	6.64	37.43
SPT-S J020808-5703.9	0.63	3.69
SPT-S J020911-6229.3	2.5	8.06
SPT-S J020955-5525.8	1.96	3.42
SPT-S J021121-5943.0	0.0	6.1
SPT-S J021126-6156.4	0.42	6.98
SPT-S J021204-6146.8	0.42	0.0
SPT-S J021244-5807.6	0.25	0.28
SPT-S J021251-6006.1	0.0	4.54
SPT-S J021359-6118.1	3.51	11.45
SPT-S J021406-6226.0	2.2	3.73
SPT-S J021410-5822.0	11.04	27.29
SPT-S J021416-6149.5	85.77	252.83
SPT-S J021431-6404.7	4.58	0.15
